Year ,amount(INR billion) ,WPI
4-97,136.55,322.3
5-97,286.63,322.4
6-97,470.11,323.4
7-97,632.94,324.5
8-97,755.68,326
9-97,914.06,328.6
10-97,1073.82,331.5
11-97,1232.94,331.6
12-97,1424.03,334.4
1-98,1647.84,338.2
2-98,1842.64,337.3
3-98,2320.68,336.8
4-98,189.09,340.5
5-98,369.19,343.8
6-98,589.26,347.5
7-98,779.92,351.4
8-98,962.65,353.2
9-98,1204.96,356.7
10-98,1385.34,358.9
11-98,1573.12,358.5
12-98,1794.01,355.5
1-99,2059.57,354.1
2-99,2253.11,355.3
3-99,2793.38,353.7
4-99,164.17,355.2
5-99,342.67,356.8
6-99,586.55,358.3
7-99,818.09,359.6
8-99,1017.54,361.1
9-99,1254.92,366.3
10-99,1458.06,369.4
11-99,1661.43,368.7
12-99,1902.6,365.4
1-00,2211.19,365
2-00,2385.61,363.9
3-00,2981.11,366.9
4-00,158.49,375.9
5-00,393.41,376.2
6-00,570.83,378.4
7-00,807.27,379.4
8-00,1044.96,380.1
9-00,1301.15,383.3
10-00,1540.06,391.3
11-00,1808.12,392
12-00,2048.21,392.8
1-01,2389.92,393
2-01,2631.79,393
3-01,3256.11,394.2
4-01,167.02,396.2
5-01,366.7,397.2
6-01,650.89,398.5
7-01,943.33,399.2
8-01,1180.97,400.7
9-01,1450.37,400.7
10-01,1724,402.7
11-01,2006.08,402.2
12-01,2337.18,400.9
1-02,2674.37,399
2-02,2960.87,398.5
3-02,3624.53,401.2
4-02,206.86,402.2
5-02,455.69,403.4
6-02,757.15,408.1
7-02,1097.25,410.4
8-02,1323.61,414.1
9-02,1624.5,414.8
10-02,1946.43,415.1
11-02,2245.79,415.8
12-02,2554.97,414.3
1-03,2993,415.8
2-03,3275.99,419.8
3-03,4129.64,425.2
4-03,199.14,428.9
5-03,456.77,429.7
6-03,767.22,429.9
7-03,1184.81,429.7
8-03,1449.39,430.4
9-03,2171.01,435.1
10-03,2537.7,436.4
11-03,2800.51,438.4
12-03,3163.03,438.1
1-04,3526.65,442.8
2-04,3837.96,445.5
3-04,4712.68,445.5
4-04,302.77,448.3
5-04,603.7,451.2
6-04,896.91,458.9
7-04,1232.96,462.4
8-04,1536.18,466.9
9-04,1955.73,469.3
10-04,2336.15,468.1
11-04,2644.03,471.3
12-04,3267.91,467.8
1-05,3683.4,467.4
2-05,4052.06,467.8
3-05,4976.82,469.3
4-05,302.56,474.8
5-05,597.37,476
6-05,935.84,478.7
7-05,1360.73,482.2
8-05,1707.89,484
9-05,2109.83,488.7
10-05,2523.58,490.1
11-05,2930.22,491.1
12-05,3324.99,488.7
1-06,3774.64,486.4
2-06,4119.22,486.7
3-06,5061.23,487.7
4-06,418.11,493.1
5-06,919.18,498.8
6-06,1314.7,503.3
7-06,1660.81,505.5
8-06,2004.36,508.7
9-06,2519.44,514.9
10-06,1892.69,517.2
11-06,3365.39,518.1
12-06,3837.21,516.4
1-07,4357.16,517.4
2-07,4708.44,517.7
3-07,5833.86,519.9
4-07,362.32,524.1
5-07,907.5,526.1
6-07,1799,526.1
7-07,2280.63,529.3
8-07,2713.67,529.8
9-07,3178.92,533
10-07,3689.02,533.3
11-07,4113.75,535
12-07,4742.53,536.2
1-08,5398.42,540.5
2-08,5841.33,544.9
3-08,7127.32,558.8
4-08,463.33,566.2
5-08,1094.85,572.7
6-08,1689.39,588.3
7-08,2347.2,594.7
8-08,2796.04,597.7
9-08,3490.81,598.4
10-08,4083.95,592.2
11-08,4941.24,580.3
12-08,5972.16,569.2
1-09,6710.79,567.2
2-09,7483.24,564
3-09,8839.56,565.5
4-09,662.17,573.7
5-09,1231.67,580.6
6-09,1969.71,582.3
7-09,2652.44,591.5
8-09,3433.23,596.7
9-09,4488.48,601.2
10-09,5368.61,600.9
11-09,6216.72,612.6
12-09,7075.4,615.3
1-10,7839.94,620.7
2-10,8583.05,620.7
3-10,10244.87,627.9
4-10,672.26,638.1
5-10,1469.09,645.3
6-10,2422.08,646.8
7-10,3327,652.5
8-10,4477.03,654.7
9-10,5379.77,659.1
10-10,6174.35,663.2
11-10,6906.87,667.4
12-10,7868.52,677.6
1-11,8835.29,686.9
2-11,9787.05,687.4
3-11,11973.28,693.9
4-11,871.3,705.9
5-11,1662.62,707.3
6-11,2612.17,710.6
7-11,3751.65,715.7
8-11,4722.17,718.9
9-11,5990.93,725
10-11,6803.74,728.7
11-11,7606.94,730.5
12-11,8963.61,730.1
1-12,10020.34,736.6
2-12,11069.64,739.4
3-12,12984.44,747.2
4-12,877.09,758.9
5-12,1908.95,760.7
6-12,3115.82,764.4
7-12,4372.91,769.5
8-12,5653.52,776.5
9-12,6940.19,783.5
10-12,7794.67,782.1
11-12,8676.45,783.5
12-12,9911.23,783.5
1-13,11113.48,790.4
2-13,12195.39,793.2
3-13,14094.22,789.5
4-13,1016.64,795.1
5-13,2173.55,795.5
6-13,3822.29,803.9
7-13,5211.65,814.5
8-13,6629.36,830.8
9-13,8090.5,838.7
10-13,9220.09,838.7
11-13,10211.95,842.4
12-13,11637.91,833.6
1-14,12699.44,830.8
2-14,13997.57,833.1
3-14,15634.85,836.8
4-14,1205.27,839.1
5-14,2803.39,844.7
6-14,4136.03,849.4
7-14,5039.4,858.6
8-14,6727.18,862.8
9-14,8620.53,858.6
10-14,9620.88,852.6
11-14,10741.83,841
12-14,12363.88,829.4
1-15,13382.68,822.9
2-15,14595.36,815
3-15,16447.61,817.3
4-15,1546.17,818.7
5-15,2628.31,824.8
6-15,4309.93,828.9