,,m3,wpi,Cr(IN)
1993,Mar,3640.16,233.1,583.305
1993,Apr,3789.51,234.6,577.3564
1993,May,3817,237,569.2661
1993,Jun,3817,239.8,545.5917
1993,Jul,3851.35,243.1,513.5269
1993,Aug,3878.4,247,515.4091
1993,Sep,3917.1,250.9,495.646
1993,Oct,3971.33,252.2,515.7228
1993,Nov,4034.25,251.6,473.3733
1993,Dec,4089.78,251.7,419.1032
1994,Jan,4171.03,252.7,444.5129
1994,Feb,4238.2,254.8,431.3375
1994,Mar,4310.84,257.6,429.4553
1994,Apr,4468.34,262.3,475.2555
1994,May,4517.36,265.4,515.4091
1994,Jun,4541.18,268.1,540.5051
1994,Jul,4608.19,271.3,565.9148
1994,Aug,4608.68,272.1,532.6626
1994,Sep,4757.58,273.2,505.9981
1994,Oct,4849.75,274.7,516.9776
1994,Nov,4886.35,276.2,539.908
1994,Dec,4915.71,279.9,506.3207
1995,Jan,4947.3,283.3,529.5256
1995,Feb,5007.12,284.7,547.2672
1995,Mar,5275.96,284.9,549.1275
1995,Apr,5248.64,288.4,589.5657
1995,May,5302.75,291.6,579.0706
1995,Jun,5319.93,292.6,544.162
1995,Jul,5340.54,294.2,503.9628
1995,Aug,5385.46,296.1,520.7542
1995,Sep,5505.58,297.4,556.764
1995,Oct,5577.15,297.9,559.5044
1995,Nov,5584.34,299.4,584.3268
1995,Dec,5624.87,297.7,626.8328
1996,Jan,5708.64,297.4,635.8146
1996,Feb,5764.55,297.9,647.9847
1996,Mar,5991.91,299.4,669.6186
1996,Apr,6092.58,302.8,711.5072
1996,May,6112.51,304.7,669.3912
1996,Jun,6195.31,305.9,649.2288
1996,Jul,6221.65,311.8,694.5756
1996,Aug,6257.77,314.4,720.783
1996,Sep,6383.58,316.8,791.0622
1996,Oct,6412.43,317.5,835.0452
1996,Nov,6486.52,319,795.215
1996,Dec,6535.48,320.1,842.5984
1997,Jan,6694.11,319.8,835.4123
1997,Feb,6763.67,321.4,737.1806
1997,Mar,6960.12,320.7,696.5954
1997,Apr,7085.09,322.3,643.8638
1997,May,7160.52,322.4,697.2207
1997,Jun,7243.47,323.4,645.2962
1997,Jul,7262.05,324.5,659.403
1997,Aug,7289.29,326,674.9368
1997,Sep,7442.52,328.6,682.3339
1997,Oct,7528.22,331.5,728.9476
1997,Nov,7635.84,331.6,713.5184
1997,Dec,7683.04,334.4,676.1528
1998,Jan,7785.87,338.2,593.4566
1998,Feb,7914.08,337.3,551.4602
1998,Mar,8213.32,336.8,522.98
1998,Apr,8368.95,340.5,531.0474
1998,May,8459.58,343.8,565.3659
1998,Jun,8544.66,347.5,527.4048
1998,Jul,8634.61,351.4,540.7272
1998,Aug,8832.76,353.2,531.0748
1998,Sep,9011.5,356.7,586.776
1998,Oct,9150.11,358.9,561.2958
1998,Nov,9192.2,358.5,503.4744
1998,Dec,9236.98,355.5,442.9455
1999,Jan,9402.34,354.1,481.2132
1999,Feb,9511.97,355.3,456.445
1999,Mar,9809.6,353.7,545.907
1999,Apr,9941.6,355.2,672.1429
1999,May,10043.58,356.8,689.4524
1999,Jun,10106.82,358.3,700.5936
1999,Jul,10233.54,359.6,811.6875
1999,Aug,10317.74,361.1,878.3266
1999,Sep,10504.31,366.3,973.9898
1999,Oct,10623.14,369.4,964.1555
1999,Nov,10701.16,368.7,1051.148
1999,Dec,10954.61,365.4,1087.4348
2000,Jan,10943.68,365,1097.8955
2000,Feb,11111.08,363.9,1184.0115
2000,Mar,11241.74,366.9,1198.2891
2000,Apr,11540.93,375.9,1023.358
2000,May,11613.94,376.2,1197.8477
2000,Jun,11775.24,378.4,1323.7178
2000,Jul,11780.53,379.4,1261.0048
2000,Aug,11855.98,380.1,1343.7429
2000,Sep,12032.54,383.3,1472.1512
2000,Oct,12231.87,391.3,1455.39
2000,Nov,12532.9,392,1512.3974
2000,Dec,12724.12,392.8,1181.84
2001,Jan,12763.58,393,1207.9725
2001,Feb,12906.83,393,1267.2048
2001,Mar,13132.04,394.2,1166.4324
2001,Apr,13505.98,396.2,1200.6314
2001,May,13694.67,397.2,1292.646
2001,Jun,13843.78,398.5,1267.59
2001,Jul,13876.31,399.2,1169.072
2001,Aug,13984.92,400.7,1216.4253
2001,Sep,14078.86,400.7,1192.6795
2001,Oct,14208.23,402.7,995.4546
2001,Nov,14392.08,402.2,897.12
2001,Dec,14504.87,400.9,887.4784
2002,Jan,14584.07,399,925.328
2002,Feb,14743.66,398.5,972.8262
2002,Mar,14983.36,401.2,1152.2136
2002,Apr,15422.1,402.2,1244.0356
2002,May,16052.06,403.4,1258.81
2002,Jun,16094.53,408.1,1199.2753
2002,Jul,16141.59,410.4,1255.57
2002,Aug,16306.87,414.1,1301.2402
2002,Sep,16403.76,414.8,1369.8832
2002,Oct,16589.03,415.1,1331.6261
2002,Nov,16735.16,415.8,1196.3654
2002,Dec,16819.91,414.3,1342.6246
2003,Jan,16937.25,415.8,1474.8061
2003,Feb,17072.83,419.8,1569.6912
2003,Mar,17179.36,425.2,1446.3504
2003,Apr,17705.34,428.9,1207.7162
2003,May,17846.96,429.7,1226.9048
2003,Jun,18023.02,429.9,1303.6761
2003,Jul,18066.44,429.7,1321.7157
2003,Aug,18194.33,430.4,1363.4992
2003,Sep,18315.88,435.1,1232.448
2003,Oct,18648.61,436.4,1316.7639
2003,Nov,18749.05,438.4,1325.5424
2003,Dec,18962.89,438.1,1365.4205
2004,Jan,19226.68,442.8,1427.444
2004,Feb,19593.88,445.5,1417.8564
2004,Mar,20056.54,445.5,1515.4867
2004,Apr,20581.84,448.3,1480.8803
2004,May,20562.33,451.2,1703.1338
2004,Jun,20631.3,458.9,1617.7808
2004,Jul,20626.35,462.4,1746.2972
2004,Aug,20831.61,466.9,1949.9872
2004,Sep,20895.61,469.3,1920.065
2004,Oct,21132.98,468.1,2145.7086
2004,Nov,21196.11,471.3,1905.8399
2004,Dec,21446.93,467.8,1719.1782
2005,Jan,22062.2,467.4,1876.8664
2005,Feb,22151.25,467.8,1946.3808
2005,Mar,22456.53,469.3,2225.1317
2005,Apr,23314.06,474.8,2214.9936
2005,May,23299.37,476,2079.2569
2005,Jun,23465.64,478.7,2349.0651
2005,Jul,23584.46,482.2,2454.3498
2005,Aug,23855.45,484,2699.3881
2005,Sep,24696.3,488.7,2707.668
2005,Oct,24710.03,490.1,2608.0758
2005,Nov,24888.05,491.1,2514.2354
2005,Dec,25155.41,488.7,2577.8555
2006,Jan,25227.66,486.4,2768.784
2006,Feb,25679.6,486.7,2646.9443
2006,Mar,27194.93,487.7,2710.1664
2006,Apr,27634.91,493.1,3056.6
2006,May,27702.92,498.8,3115.5801
2006,Jun,27745.55,503.3,3145.4374
2006,Jul,28273,505.5,3368.8146
2006,Aug,28848,508.7,3342.0374
2006,Sep,29416.57,514.9,2858.0564
2006,Oct,29363.87,517.2,2634.9865
2006,Nov,29817.72,518.1,2607.1305
2006,Dec,30058.3,516.4,2722.43
2007,Jan,30672.75,517.4,2367.222
2007,Feb,31388.37,517.7,2542.7328
2007,Mar,33100.38,519.9,2668.218
2007,Apr,33064.35,524.1,2743.965
2007,May,33219.31,526.1,2654.778
2007,Jun,33811.45,526.1,2780.1063
2007,Jul,34558.61,529.3,2977.7414
2007,Aug,34858.15,529.8,2862.7066
2007,Sep,35850.09,533,3102.5494
2007,Oct,36152.14,533.3,3245.7465
2007,Nov,36803.44,535,3599.6888
2007,Dec,37055.14,536.2,3527.1192
2008,Jan,38043.34,540.5,3575.5834
2008,Feb,38818.76,544.9,3724.6875
2008,Mar,40178.55,558.8,4110.2624
2008,Apr,40375.83,566.2,4365.2715
2008,May,40956.91,572.7,5172.3001
2008,Jun,41071.33,588.3,5631.6864
2008,Jul,41489.87,594.7,5678.442
2008,Aug,42261.71,597.7,4919.6358
2008,Sep,42835.14,598.4,4523.6524
2008,Oct,43579.37,592.2,3535.6416
2008,Nov,43888.4,580.3,2647.96
2008,Dec,44439.93,569.2,2020.0192
2009,Jan,45747.79,567.2,2144.1253
2009,Feb,46645.7,564,2055.4272
2009,Mar,47947.75,565.5,2405.2485
2009,Apr,49017.15,573.7,2517.0168
2009,May,49517.2,580.6,2819.593
2009,Jun,49585.65,582.3,3302.3401
2009,Jul,50486.98,591.5,3134.232
2009,Aug,50656.63,596.7,3462.5942
2009,Sep,51205.35,601.2,3312.3272
2009,Oct,51828.5,600.9,3461.0176
2009,Nov,52306.93,612.6,3611.9692
2009,Dec,52453.13,615.3,3491.6544
2010,Jan,53688.61,620.7,3544.4352
2010,Feb,54572.73,620.7,3461.7776
2010,Mar,56026.98,627.9,3608.15
2010,Apr,56493.36,638.1,3744.23
2010,May,57029.14,645.3,3459.732
2010,Jun,57105.8,646.8,3479.4288
2010,Jul,58423.83,652.5,3490.5168
2010,Aug,58544.53,654.7,3533.7316
2010,Sep,58992.66,659.1,3505.6266
2010,Oct,60804.76,663.2,3629.1852
2010,Nov,60905.75,667.4,3805.5406
2010,Dec,62251.81,677.6,4067.5612
2011,Jan,62559.84,686.9,4205.8374
2011,Feb,63667.14,687.4,4440.8512
2011,Mar,65041.16,693.9,4888.1635
2011,Apr,66494.04,705.9,5161.1184
2011,May,66714.95,707.3,4857.282
2011,Jun,66966.07,710.6,4747.3725
2011,Jul,68150.4,715.7,4792.0296
2011,Aug,68521.31,718.9,4548.376
2011,Sep,68787.79,725,4802.5329
2011,Oct,69846.2,728.7,4922.0592
2011,Nov,70335.34,730.5,5358.6096
2011,Dec,72213.42,730.1,5492.4168
2012,Jan,71848.3,736.6,5487.7326
2012,Feb,72530.52,739.4,5541.459
2012,Mar,73848.31,747.2,5927.1928
2012,Apr,75317.32,758.9,5893.3875
2012,May,75952.27,760.7,5673.5952
2012,Jun,77562.28,764.4,5083.6019
2012,Jul,77666.67,769.5,5368.6575
2012,Aug,78178.42,776.5,5849.3568
2012,Sep,78165.92,783.5,5806.1352
2012,Oct,79165.08,782.1,5481.7378
2012,Nov,79931.52,783.5,5542.0926
2012,Dec,80336.62,783.5,5528.9405
2013,Jan,81157.95,790.4,5705.7728
2013,Feb,81740.83,793.2,5788.8782
2013,Mar,83898.19,789.5,5581.984
2013,Apr,85029.03,795.1,5375.463
2013,May,86276.79,795.5,5465.2435
2013,Jun,87405.71,803.9,5824.816
2013,Jul,87329.72,814.5,6289.4538
2013,Aug,87619.1,830.8,6830.4726
2013,Sep,88330.81,838.7,6934.725
2013,Oct,90048.38,838.7,6498.4452
2013,Nov,91825.57,842.4,6424.5854
2013,Dec,92229.92,833.6,6530.8859
2014,Jan,92958.62,830.8,6347.68
2014,Feb,93637.97,833.1,6525.045
2014,Mar,95173.84,836.8,6347.4804
2014,Apr,96875.29,839.1,6334.1784
2014,May,97663.49,844.7,6270.8463
2014,Jun,97740.33,849.4,6472.9401
2014,Jul,98188.28,858.6,6319.5132
2014,Aug,98848.03,862.8,6093.045
2014,Sep,99316.11,858.6,5835.8654
2014,Oct,101174.52,852.6,5283.2142
2014,Nov,101654.79,841,4748.432
2014,Dec,102097.42,829.4,3799.5125
2015,Jan,102949.65,822.9,2952.8135
2015,Feb,104062.38,815,3407.8572
2015,Mar,105455.5,817.3,3299.2335
2015,Apr,107217.64,818.7,3601.3824
2015,May,108600.4,824.8,3987.5
2015,Jun,108519.89,828.9,3914.618